drug1,drug2,severity,note
Ibuprofen,Tramadol,medium,"Moderate interaction, consult healthcare provider."
Codeine,Aripiprazole,medium,"Moderate interaction, consult healthcare provider."
Warfarin,Ibuprofen,high,"Severe interaction, avoid concurrent use."
Clopidogrel,Trazodone,high,"Severe interaction, avoid concurrent use."
Metoprolol,Morphine,low,"Minor interaction, monitor symptoms."
Codeine,Olanzapine,high,"Severe interaction, avoid concurrent use."
Furosemide,Losartan,high,"Severe interaction, avoid concurrent use."
Olanzapine,Aripiprazole,medium,"Moderate interaction, consult healthcare provider."
Clopidogrel,Quetiapine,medium,"Moderate interaction, consult healthcare provider."
Naproxen,Haloperidol,high,"Severe interaction, avoid concurrent use."
Paracetamol,Gabapentin,low,"Minor interaction, monitor symptoms."
Levothyroxine,Losartan,medium,"Moderate interaction, consult healthcare provider."
Hydrochlorothiazide,Alprazolam,low,"Minor interaction, monitor symptoms."
Simvastatin,Aripiprazole,high,"Severe interaction, avoid concurrent use."
Prednisone,Morphine,low,"Minor interaction, monitor symptoms."
Diazepam,Haloperidol,low,"Minor interaction, monitor symptoms."
Ciprofloxacin,Diazepam,medium,"Moderate interaction, consult healthcare provider."
Tramadol,Ranitidine,medium,"Moderate interaction, consult healthcare provider."
Alprazolam,Ranitidine,low,"Minor interaction, monitor symptoms."
Fluoxetine,Risperidone,low,"Minor interaction, monitor symptoms."
Doxycycline,Trazodone,low,"Minor interaction, monitor symptoms."
Sertraline,Zolpidem,low,"Minor interaction, monitor symptoms."
Ibuprofen,Metoprolol,high,"Severe interaction, avoid concurrent use."
Metformin,Aripiprazole,high,"Severe interaction, avoid concurrent use."
Losartan,Sertraline,medium,"Moderate interaction, consult healthcare provider."
Atorvastatin,Doxycycline,medium,"Moderate interaction, consult healthcare provider."
Doxycycline,Quetiapine,medium,"Moderate interaction, consult healthcare provider."
Metformin,Olanzapine,high,"Severe interaction, avoid concurrent use."
Paracetamol,Ibuprofen,low,"Minor interaction, monitor symptoms."
Insulin,Gabapentin,low,"Minor interaction, monitor symptoms."
Venlafaxine,Quetiapine,low,"Minor interaction, monitor symptoms."
Insulin,Doxycycline,medium,"Moderate interaction, consult healthcare provider."
Ciprofloxacin,Hydrochlorothiazide,high,"Severe interaction, avoid concurrent use."
Lisinopril,Metoprolol,medium,"Moderate interaction, consult healthcare provider."
Losartan,Olanzapine,medium,"Moderate interaction, consult healthcare provider."
Tramadol,Esomeprazole,high,"Severe interaction, avoid concurrent use."
Venlafaxine,Aripiprazole,medium,"Moderate interaction, consult healthcare provider."
Clopidogrel,Losartan,high,"Severe interaction, avoid concurrent use."
Furosemide,Citalopram,low,"Minor interaction, monitor symptoms."
Warfarin,Naproxen,medium,"Moderate interaction, consult healthcare provider."
Metformin,Naproxen,low,"Minor interaction, monitor symptoms."
Aspirin,Haloperidol,high,"Severe interaction, avoid concurrent use."
Azithromycin,Zolpidem,low,"Minor interaction, monitor symptoms."
Warfarin,Zolpidem,low,"Minor interaction, monitor symptoms."
Citalopram,Ranitidine,high,"Severe interaction, avoid concurrent use."
Metformin,Baclofen,high,"Severe interaction, avoid concurrent use."
Amoxicillin,Citalopram,high,"Severe interaction, avoid concurrent use."
Metoprolol,Naproxen,medium,"Moderate interaction, consult healthcare provider."
Aspirin,Levothyroxine,low,"Minor interaction, monitor symptoms."
Naproxen,Azithromycin,medium,"Moderate interaction, consult healthcare provider."
Sertraline,Venlafaxine,medium,"Moderate interaction, consult healthcare provider."
Levothyroxine,Tramadol,low,"Minor interaction, monitor symptoms."
Metoprolol,Haloperidol,medium,"Moderate interaction, consult healthcare provider."
Alprazolam,Codeine,high,"Severe interaction, avoid concurrent use."
Ranitidine,Doxycycline,medium,"Moderate interaction, consult healthcare provider."
Omeprazole,Alprazolam,medium,"Moderate interaction, consult healthcare provider."
Metformin,Quetiapine,medium,"Moderate interaction, consult healthcare provider."
Alprazolam,Venlafaxine,high,"Severe interaction, avoid concurrent use."
Insulin,Losartan,medium,"Moderate interaction, consult healthcare provider."
Atorvastatin,Haloperidol,low,"Minor interaction, monitor symptoms."
Sertraline,Ketorolac,medium,"Moderate interaction, consult healthcare provider."
Venlafaxine,Risperidone,low,"Minor interaction, monitor symptoms."
Amoxicillin,Ciprofloxacin,medium,"Moderate interaction, consult healthcare provider."
Aspirin,Simvastatin,low,"Minor interaction, monitor symptoms."
Warfarin,Insulin,medium,"Moderate interaction, consult healthcare provider."
Ketorolac,Olanzapine,medium,"Moderate interaction, consult healthcare provider."
Atorvastatin,Trazodone,medium,"Moderate interaction, consult healthcare provider."
Paracetamol,Levothyroxine,low,"Minor interaction, monitor symptoms."
Simvastatin,Quetiapine,medium,"Moderate interaction, consult healthcare provider."
Fluoxetine,Zolpidem,high,"Severe interaction, avoid concurrent use."
Losartan,Bupropion,low,"Minor interaction, monitor symptoms."
Hydrochlorothiazide,Bupropion,medium,"Moderate interaction, consult healthcare provider."
Ibuprofen,Gabapentin,medium,"Moderate interaction, consult healthcare provider."
Ibuprofen,Olanzapine,high,"Severe interaction, avoid concurrent use."
Metoprolol,Diazepam,low,"Minor interaction, monitor symptoms."
Sertraline,Doxycycline,high,"Severe interaction, avoid concurrent use."
Simvastatin,Levothyroxine,high,"Severe interaction, avoid concurrent use."
Metoprolol,Gabapentin,high,"Severe interaction, avoid concurrent use."
Ciprofloxacin,Haloperidol,medium,"Moderate interaction, consult healthcare provider."
Metoprolol,Furosemide,low,"Minor interaction, monitor symptoms."
Ketorolac,Losartan,medium,"Moderate interaction, consult healthcare provider."
Lisinopril,Zolpidem,medium,"Moderate interaction, consult healthcare provider."
Ciprofloxacin,Tramadol,medium,"Moderate interaction, consult healthcare provider."
Losartan,Zolpidem,low,"Minor interaction, monitor symptoms."
Insulin,Venlafaxine,medium,"Moderate interaction, consult healthcare provider."
Metformin,Levothyroxine,low,"Minor interaction, monitor symptoms."
Ibuprofen,Hydrochlorothiazide,high,"Severe interaction, avoid concurrent use."
Clopidogrel,Azithromycin,low,"Minor interaction, monitor symptoms."
Azithromycin,Gabapentin,medium,"Moderate interaction, consult healthcare provider."
Aspirin,Hydrochlorothiazide,medium,"Moderate interaction, consult healthcare provider."
Doxycycline,Losartan,low,"Minor interaction, monitor symptoms."
Amoxicillin,Zolpidem,low,"Minor interaction, monitor symptoms."
Esomeprazole,Quetiapine,low,"Minor interaction, monitor symptoms."
Diazepam,Venlafaxine,high,"Severe interaction, avoid concurrent use."
Furosemide,Haloperidol,high,"Severe interaction, avoid concurrent use."
Aspirin,Amoxicillin,low,"Minor interaction, monitor symptoms."
Atorvastatin,Codeine,low,"Minor interaction, monitor symptoms."
Furosemide,Alprazolam,high,"Severe interaction, avoid concurrent use."
Amoxicillin,Levothyroxine,medium,"Moderate interaction, consult healthcare provider."
Tramadol,Naproxen,low,"Minor interaction, monitor symptoms."
Aspirin,Trazodone,high,"Severe interaction, avoid concurrent use."
Ranitidine,Azithromycin,medium,"Moderate interaction, consult healthcare provider."
Furosemide,Doxycycline,high,"Severe interaction, avoid concurrent use."
Paracetamol,Losartan,high,"Severe interaction, avoid concurrent use."
Codeine,Esomeprazole,medium,"Moderate interaction, consult healthcare provider."
Ibuprofen,Diazepam,high,"Severe interaction, avoid concurrent use."
Alprazolam,Tramadol,low,"Minor interaction, monitor symptoms."
Diazepam,Doxycycline,high,"Severe interaction, avoid concurrent use."
Ketorolac,Venlafaxine,medium,"Moderate interaction, consult healthcare provider."
Levothyroxine,Trazodone,low,"Minor interaction, monitor symptoms."
Morphine,Baclofen,medium,"Moderate interaction, consult healthcare provider."
Simvastatin,Azithromycin,medium,"Moderate interaction, consult healthcare provider."
Citalopram,Naproxen,medium,"Moderate interaction, consult healthcare provider."
Ibuprofen,Losartan,low,"Minor interaction, monitor symptoms."
Citalopram,Esomeprazole,high,"Severe interaction, avoid concurrent use."
Morphine,Naproxen,medium,"Moderate interaction, consult healthcare provider."
Aspirin,Fluoxetine,low,"Minor interaction, monitor symptoms."
Prednisone,Venlafaxine,high,"Severe interaction, avoid concurrent use."
Tramadol,Morphine,medium,"Moderate interaction, consult healthcare provider."
Codeine,Baclofen,low,"Minor interaction, monitor symptoms."
Lisinopril,Venlafaxine,low,"Minor interaction, monitor symptoms."
Alprazolam,Trazodone,high,"Severe interaction, avoid concurrent use."
Warfarin,Levothyroxine,low,"Minor interaction, monitor symptoms."
Metformin,Hydrochlorothiazide,high,"Severe interaction, avoid concurrent use."
Azithromycin,Haloperidol,high,"Severe interaction, avoid concurrent use."
Losartan,Aripiprazole,low,"Minor interaction, monitor symptoms."
Diazepam,Tramadol,medium,"Moderate interaction, consult healthcare provider."
Codeine,Gabapentin,high,"Severe interaction, avoid concurrent use."
Warfarin,Citalopram,low,"Minor interaction, monitor symptoms."
Ranitidine,Venlafaxine,high,"Severe interaction, avoid concurrent use."
Atorvastatin,Ketorolac,medium,"Moderate interaction, consult healthcare provider."
Morphine,Haloperidol,low,"Minor interaction, monitor symptoms."
Alprazolam,Azithromycin,low,"Minor interaction, monitor symptoms."
Insulin,Tramadol,high,"Severe interaction, avoid concurrent use."
Losartan,Ketorolac,medium,"Moderate interaction, consult healthcare provider."
Ibuprofen,Ranitidine,low,"Minor interaction, monitor symptoms."
Omeprazole,Codeine,medium,"Moderate interaction, consult healthcare provider."
Clopidogrel,Naproxen,medium,"Moderate interaction, consult healthcare provider."
Warfarin,Prednisone,low,"Minor interaction, monitor symptoms."
Ibuprofen,Prednisone,medium,"Moderate interaction, consult healthcare provider."
Hydrochlorothiazide,Fluoxetine,high,"Severe interaction, avoid concurrent use."
Clopidogrel,Furosemide,low,"Minor interaction, monitor symptoms."
Citalopram,Insulin,high,"Severe interaction, avoid concurrent use."
Omeprazole,Tramadol,low,"Minor interaction, monitor symptoms."
Aspirin,Clopidogrel,low,"Minor interaction, monitor symptoms."
Citalopram,Azithromycin,high,"Severe interaction, avoid concurrent use."
Losartan,Doxycycline,medium,"Moderate interaction, consult healthcare provider."
Morphine,Gabapentin,high,"Severe interaction, avoid concurrent use."
Losartan,Risperidone,low,"Minor interaction, monitor symptoms."
Aspirin,Ibuprofen,low,"Minor interaction, monitor symptoms."
Alprazolam,Baclofen,high,"Severe interaction, avoid concurrent use."
Levothyroxine,Baclofen,medium,"Moderate interaction, consult healthcare provider."
Ciprofloxacin,Risperidone,medium,"Moderate interaction, consult healthcare provider."
Omeprazole,Citalopram,high,"Severe interaction, avoid concurrent use."
Furosemide,Insulin,high,"Severe interaction, avoid concurrent use."
Trazodone,Risperidone,high,"Severe interaction, avoid concurrent use."
Atorvastatin,Alprazolam,high,"Severe interaction, avoid concurrent use."
Lisinopril,Prednisone,high,"Severe interaction, avoid concurrent use."
Diazepam,Risperidone,medium,"Moderate interaction, consult healthcare provider."
Trazodone,Quetiapine,medium,"Moderate interaction, consult healthcare provider."
Losartan,Omeprazole,high,"Severe interaction, avoid concurrent use."
Warfarin,Simvastatin,high,"Severe interaction, avoid concurrent use."
Warfarin,Esomeprazole,low,"Minor interaction, monitor symptoms."
Metformin,Doxycycline,medium,"Moderate interaction, consult healthcare provider."
Azithromycin,Aripiprazole,medium,"Moderate interaction, consult healthcare provider."
Insulin,Levothyroxine,low,"Minor interaction, monitor symptoms."
Naproxen,Risperidone,low,"Minor interaction, monitor symptoms."
Diazepam,Esomeprazole,high,"Severe interaction, avoid concurrent use."
Clopidogrel,Olanzapine,low,"Minor interaction, monitor symptoms."
Clopidogrel,Codeine,high,"Severe interaction, avoid concurrent use."
Naproxen,Quetiapine,medium,"Moderate interaction, consult healthcare provider."
Hydrochlorothiazide,Esomeprazole,medium,"Moderate interaction, consult healthcare provider."
Amoxicillin,Quetiapine,high,"Severe interaction, avoid concurrent use."
Doxycycline,Baclofen,high,"Severe interaction, avoid concurrent use."
Losartan,Haloperidol,low,"Minor interaction, monitor symptoms."
Atorvastatin,Azithromycin,low,"Minor interaction, monitor symptoms."
Losartan,Risperidone,high,"Severe interaction, avoid concurrent use."
Losartan,Citalopram,low,"Minor interaction, monitor symptoms."
Ibuprofen,Lisinopril,low,"Minor interaction, monitor symptoms."
Simvastatin,Baclofen,high,"Severe interaction, avoid concurrent use."
Gabapentin,Zolpidem,low,"Minor interaction, monitor symptoms."
Aspirin,Bupropion,high,"Severe interaction, avoid concurrent use."
Warfarin,Lisinopril,high,"Severe interaction, avoid concurrent use."
Paracetamol,Baclofen,medium,"Moderate interaction, consult healthcare provider."
Losartan,Venlafaxine,high,"Severe interaction, avoid concurrent use."
Lisinopril,Hydrochlorothiazide,high,"Severe interaction, avoid concurrent use."
Fluoxetine,Haloperidol,high,"Severe interaction, avoid concurrent use."
Losartan,Aripiprazole,medium,"Moderate interaction, consult healthcare provider."
Aspirin,Gabapentin,high,"Severe interaction, avoid concurrent use."
Simvastatin,Prednisone,medium,"Moderate interaction, consult healthcare provider."
Warfarin,Ranitidine,low,"Minor interaction, monitor symptoms."
Warfarin,Ciprofloxacin,low,"Minor interaction, monitor symptoms."
Paracetamol,Lisinopril,medium,"Moderate interaction, consult healthcare provider."
Simvastatin,Tramadol,high,"Severe interaction, avoid concurrent use."
Fluoxetine,Losartan,medium,"Moderate interaction, consult healthcare provider."
Clopidogrel,Citalopram,high,"Severe interaction, avoid concurrent use."
Codeine,Trazodone,medium,"Moderate interaction, consult healthcare provider."
Levothyroxine,Risperidone,medium,"Moderate interaction, consult healthcare provider."
Naproxen,Codeine,high,"Severe interaction, avoid concurrent use."
Hydrochlorothiazide,Doxycycline,medium,"Moderate interaction, consult healthcare provider."
Levothyroxine,Ranitidine,high,"Severe interaction, avoid concurrent use."
Metoprolol,Citalopram,high,"Severe interaction, avoid concurrent use."
Hydrochlorothiazide,Baclofen,low,"Minor interaction, monitor symptoms."
Warfarin,Venlafaxine,medium,"Moderate interaction, consult healthcare provider."
Baclofen,Quetiapine,low,"Minor interaction, monitor symptoms."
Morphine,Esomeprazole,low,"Minor interaction, monitor symptoms."
Baclofen,Zolpidem,medium,"Moderate interaction, consult healthcare provider."
Venlafaxine,Bupropion,medium,"Moderate interaction, consult healthcare provider."
Clopidogrel,Haloperidol,high,"Severe interaction, avoid concurrent use."
Warfarin,Metformin,high,"Severe interaction, avoid concurrent use."
Omeprazole,Diazepam,high,"Severe interaction, avoid concurrent use."
Gabapentin,Venlafaxine,low,"Minor interaction, monitor symptoms."
Ketorolac,Haloperidol,low,"Minor interaction, monitor symptoms."
Atorvastatin,Fluoxetine,low,"Minor interaction, monitor symptoms."
Sertraline,Tramadol,high,"Severe interaction, avoid concurrent use."
Fluoxetine,Morphine,high,"Severe interaction, avoid concurrent use."
Amoxicillin,Clopidogrel,high,"Severe interaction, avoid concurrent use."
Warfarin,Doxycycline,low,"Minor interaction, monitor symptoms."
Hydrochlorothiazide,Azithromycin,medium,"Moderate interaction, consult healthcare provider."
Alprazolam,Sertraline,high,"Severe interaction, avoid concurrent use."
Aspirin,Venlafaxine,high,"Severe interaction, avoid concurrent use."
Metformin,Tramadol,medium,"Moderate interaction, consult healthcare provider."
Paracetamol,Metoprolol,high,"Severe interaction, avoid concurrent use."
Hydrochlorothiazide,Citalopram,high,"Severe interaction, avoid concurrent use."
Warfarin,Fluoxetine,low,"Minor interaction, monitor symptoms."
Baclofen,Ketorolac,high,"Severe interaction, avoid concurrent use."
Losartan,Insulin,medium,"Moderate interaction, consult healthcare provider."
Aspirin,Omeprazole,medium,"Moderate interaction, consult healthcare provider."
Amoxicillin,Hydrochlorothiazide,medium,"Moderate interaction, consult healthcare provider."
Ibuprofen,Citalopram,high,"Severe interaction, avoid concurrent use."
Omeprazole,Insulin,low,"Minor interaction, monitor symptoms."
Azithromycin,Olanzapine,low,"Minor interaction, monitor symptoms."
Losartan,Morphine,medium,"Moderate interaction, consult healthcare provider."
Warfarin,Ketorolac,medium,"Moderate interaction, consult healthcare provider."
Hydrochlorothiazide,Ranitidine,low,"Minor interaction, monitor symptoms."
Amoxicillin,Risperidone,low,"Minor interaction, monitor symptoms."
Warfarin,Metoprolol,high,"Severe interaction, avoid concurrent use."
Insulin,Risperidone,medium,"Moderate interaction, consult healthcare provider."
Gabapentin,Trazodone,high,"Severe interaction, avoid concurrent use."
Warfarin,Alprazolam,low,"Minor interaction, monitor symptoms."
Fluoxetine,Doxycycline,medium,"Moderate interaction, consult healthcare provider."
Ciprofloxacin,Olanzapine,high,"Severe interaction, avoid concurrent use."
Atorvastatin,Metoprolol,low,"Minor interaction, monitor symptoms."
Lisinopril,Doxycycline,medium,"Moderate interaction, consult healthcare provider."
Atorvastatin,Bupropion,high,"Severe interaction, avoid concurrent use."
Sertraline,Quetiapine,medium,"Moderate interaction, consult healthcare provider."
Esomeprazole,Olanzapine,low,"Minor interaction, monitor symptoms."
Aspirin,Codeine,low,"Minor interaction, monitor symptoms."
Simvastatin,Codeine,medium,"Moderate interaction, consult healthcare provider."
Ciprofloxacin,Losartan,low,"Minor interaction, monitor symptoms."
Ciprofloxacin,Trazodone,medium,"Moderate interaction, consult healthcare provider."
Ibuprofen,Aripiprazole,high,"Severe interaction, avoid concurrent use."
Citalopram,Risperidone,low,"Minor interaction, monitor symptoms."
Furosemide,Naproxen,high,"Severe interaction, avoid concurrent use."
Ibuprofen,Ketorolac,medium,"Moderate interaction, consult healthcare provider."
Amoxicillin,Lisinopril,high,"Severe interaction, avoid concurrent use."
Fluoxetine,Bupropion,low,"Minor interaction, monitor symptoms."
Amoxicillin,Atorvastatin,medium,"Moderate interaction, consult healthcare provider."
Codeine,Doxycycline,high,"Severe interaction, avoid concurrent use."
Bupropion,Quetiapine,high,"Severe interaction, avoid concurrent use."
Insulin,Azithromycin,low,"Minor interaction, monitor symptoms."
Metoprolol,Ranitidine,high,"Severe interaction, avoid concurrent use."
Hydrochlorothiazide,Zolpidem,medium,"Moderate interaction, consult healthcare provider."
Aspirin,Furosemide,high,"Severe interaction, avoid concurrent use."
Omeprazole,Clopidogrel,medium,"Moderate interaction, consult healthcare provider."
Ciprofloxacin,Azithromycin,low,"Minor interaction, monitor symptoms."
Lisinopril,Atorvastatin,low,"Minor interaction, monitor symptoms."
Alprazolam,Haloperidol,medium,"Moderate interaction, consult healthcare provider."
Codeine,Ranitidine,low,"Minor interaction, monitor symptoms."
Sertraline,Gabapentin,medium,"Moderate interaction, consult healthcare provider."
Ciprofloxacin,Venlafaxine,high,"Severe interaction, avoid concurrent use."
Simvastatin,Morphine,low,"Minor interaction, monitor symptoms."
Citalopram,Haloperidol,high,"Severe interaction, avoid concurrent use."
Lisinopril,Gabapentin,low,"Minor interaction, monitor symptoms."
Lisinopril,Risperidone,high,"Severe interaction, avoid concurrent use."
Morphine,Risperidone,medium,"Moderate interaction, consult healthcare provider."
Atorvastatin,Citalopram,high,"Severe interaction, avoid concurrent use."
Paracetamol,Metformin,low,"Minor interaction, monitor symptoms."
Simvastatin,Atorvastatin,high,"Severe interaction, avoid concurrent use."
Atorvastatin,Losartan,high,"Severe interaction, avoid concurrent use."
Esomeprazole,Venlafaxine,low,"Minor interaction, monitor symptoms."
Codeine,Haloperidol,high,"Severe interaction, avoid concurrent use."
Ibuprofen,Zolpidem,low,"Minor interaction, monitor symptoms."
Insulin,Codeine,high,"Severe interaction, avoid concurrent use."
Ibuprofen,Haloperidol,high,"Severe interaction, avoid concurrent use."
Levothyroxine,Azithromycin,medium,"Moderate interaction, consult healthcare provider."
Diazepam,Ketorolac,medium,"Moderate interaction, consult healthcare provider."
Codeine,Bupropion,medium,"Moderate interaction, consult healthcare provider."
Morphine,Ketorolac,high,"Severe interaction, avoid concurrent use."
Omeprazole,Trazodone,low,"Minor interaction, monitor symptoms."
Metoprolol,Losartan,medium,"Moderate interaction, consult healthcare provider."
Amoxicillin,Insulin,low,"Minor interaction, monitor symptoms."
Paracetamol,Doxycycline,high,"Severe interaction, avoid concurrent use."
Alprazolam,Doxycycline,medium,"Moderate interaction, consult healthcare provider."
Sertraline,Haloperidol,medium,"Moderate interaction, consult healthcare provider."
Ketorolac,Risperidone,high,"Severe interaction, avoid concurrent use."
Doxycycline,Bupropion,low,"Minor interaction, monitor symptoms."
Ibuprofen,Omeprazole,low,"Minor interaction, monitor symptoms."
Ibuprofen,Baclofen,medium,"Moderate interaction, consult healthcare provider."
Tramadol,Baclofen,high,"Severe interaction, avoid concurrent use."
Prednisone,Metoprolol,medium,"Moderate interaction, consult healthcare provider."
Amoxicillin,Haloperidol,high,"Severe interaction, avoid concurrent use."
Citalopram,Trazodone,high,"Severe interaction, avoid concurrent use."
Baclofen,Losartan,high,"Severe interaction, avoid concurrent use."
Morphine,Losartan,high,"Severe interaction, avoid concurrent use."
Ciprofloxacin,Citalopram,high,"Severe interaction, avoid concurrent use."
Gabapentin,Aripiprazole,medium,"Moderate interaction, consult healthcare provider."
Gabapentin,Baclofen,medium,"Moderate interaction, consult healthcare provider."
Warfarin,Hydrochlorothiazide,high,"Severe interaction, avoid concurrent use."
Metoprolol,Olanzapine,high,"Severe interaction, avoid concurrent use."
Ranitidine,Haloperidol,low,"Minor interaction, monitor symptoms."
Prednisone,Esomeprazole,high,"Severe interaction, avoid concurrent use."
Hydrochlorothiazide,Haloperidol,medium,"Moderate interaction, consult healthcare provider."
Ibuprofen,Alprazolam,low,"Minor interaction, monitor symptoms."
Furosemide,Olanzapine,high,"Severe interaction, avoid concurrent use."
Prednisone,Insulin,low,"Minor interaction, monitor symptoms."
Ibuprofen,Morphine,medium,"Moderate interaction, consult healthcare provider."
Codeine,Zolpidem,high,"Severe interaction, avoid concurrent use."
Alprazolam,Fluoxetine,high,"Severe interaction, avoid concurrent use."
Ketorolac,Aripiprazole,high,"Severe interaction, avoid concurrent use."
Sertraline,Naproxen,high,"Severe interaction, avoid concurrent use."
Hydrochlorothiazide,Ketorolac,low,"Minor interaction, monitor symptoms."
Warfarin,Omeprazole,high,"Severe interaction, avoid concurrent use."
Amoxicillin,Doxycycline,medium,"Moderate interaction, consult healthcare provider."
Omeprazole,Venlafaxine,low,"Minor interaction, monitor symptoms."
Warfarin,Codeine,low,"Minor interaction, monitor symptoms."
Paracetamol,Naproxen,high,"Severe interaction, avoid concurrent use."
Furosemide,Codeine,low,"Minor interaction, monitor symptoms."
Ibuprofen,Losartan,high,"Severe interaction, avoid concurrent use."
Lisinopril,Trazodone,low,"Minor interaction, monitor symptoms."
Insulin,Esomeprazole,medium,"Moderate interaction, consult healthcare provider."
Levothyroxine,Ketorolac,low,"Minor interaction, monitor symptoms."
Doxycycline,Aripiprazole,high,"Severe interaction, avoid concurrent use."
Metoprolol,Tramadol,low,"Minor interaction, monitor symptoms."
Metoprolol,Doxycycline,low,"Minor interaction, monitor symptoms."
Losartan,Alprazolam,medium,"Moderate interaction, consult healthcare provider."
Metformin,Ranitidine,low,"Minor interaction, monitor symptoms."
Aspirin,Ketorolac,low,"Minor interaction, monitor symptoms."
Citalopram,Olanzapine,low,"Minor interaction, monitor symptoms."
Paracetamol,Furosemide,low,"Minor interaction, monitor symptoms."
Alprazolam,Insulin,high,"Severe interaction, avoid concurrent use."
Alprazolam,Aripiprazole,medium,"Moderate interaction, consult healthcare provider."
Zolpidem,Aripiprazole,medium,"Moderate interaction, consult healthcare provider."
Ibuprofen,Metformin,medium,"Moderate interaction, consult healthcare provider."
Lisinopril,Ketorolac,low,"Minor interaction, monitor symptoms."
Simvastatin,Zolpidem,low,"Minor interaction, monitor symptoms."
Naproxen,Ranitidine,high,"Severe interaction, avoid concurrent use."
Diazepam,Gabapentin,medium,"Moderate interaction, consult healthcare provider."
Naproxen,Baclofen,medium,"Moderate interaction, consult healthcare provider."
Venlafaxine,Haloperidol,high,"Severe interaction, avoid concurrent use."
Prednisone,Hydrochlorothiazide,high,"Severe interaction, avoid concurrent use."
Amoxicillin,Baclofen,low,"Minor interaction, monitor symptoms."
Warfarin,Diazepam,medium,"Moderate interaction, consult healthcare provider."
Diazepam,Baclofen,low,"Minor interaction, monitor symptoms."
Simvastatin,Haloperidol,medium,"Moderate interaction, consult healthcare provider."
Paracetamol,Citalopram,medium,"Moderate interaction, consult healthcare provider."
Warfarin,Atorvastatin,high,"Severe interaction, avoid concurrent use."
Trazodone,Haloperidol,medium,"Moderate interaction, consult healthcare provider."
Clopidogrel,Diazepam,medium,"Moderate interaction, consult healthcare provider."
Aspirin,Diazepam,high,"Severe interaction, avoid concurrent use."
Diazepam,Olanzapine,high,"Severe interaction, avoid concurrent use."
Diazepam,Naproxen,high,"Severe interaction, avoid concurrent use."
Aspirin,Metformin,low,"Minor interaction, monitor symptoms."
Hydrochlorothiazide,Risperidone,medium,"Moderate interaction, consult healthcare provider."
Lisinopril,Levothyroxine,low,"Minor interaction, monitor symptoms."
Doxycycline,Gabapentin,low,"Minor interaction, monitor symptoms."
Losartan,Tramadol,high,"Severe interaction, avoid concurrent use."
Lisinopril,Insulin,medium,"Moderate interaction, consult healthcare provider."
Doxycycline,Haloperidol,low,"Minor interaction, monitor symptoms."
Citalopram,Gabapentin,medium,"Moderate interaction, consult healthcare provider."
Diazepam,Insulin,high,"Severe interaction, avoid concurrent use."
Esomeprazole,Zolpidem,low,"Minor interaction, monitor symptoms."
Ibuprofen,Insulin,medium,"Moderate interaction, consult healthcare provider."
Warfarin,Clopidogrel,low,"Minor interaction, monitor symptoms."
Prednisone,Losartan,high,"Severe interaction, avoid concurrent use."
Diazepam,Codeine,medium,"Moderate interaction, consult healthcare provider."
Bupropion,Haloperidol,medium,"Moderate interaction, consult healthcare provider."
Aspirin,Olanzapine,medium,"Moderate interaction, consult healthcare provider."
Hydrochlorothiazide,Aripiprazole,low,"Minor interaction, monitor symptoms."
Furosemide,Aripiprazole,high,"Severe interaction, avoid concurrent use."
Atorvastatin,Olanzapine,low,"Minor interaction, monitor symptoms."
Fluoxetine,Insulin,low,"Minor interaction, monitor symptoms."
Fluoxetine,Ketorolac,low,"Minor interaction, monitor symptoms."
Prednisone,Furosemide,high,"Severe interaction, avoid concurrent use."
Furosemide,Tramadol,high,"Severe interaction, avoid concurrent use."
Amoxicillin,Fluoxetine,low,"Minor interaction, monitor symptoms."
Fluoxetine,Gabapentin,medium,"Moderate interaction, consult healthcare provider."
Tramadol,Bupropion,medium,"Moderate interaction, consult healthcare provider."
Naproxen,Doxycycline,high,"Severe interaction, avoid concurrent use."
Clopidogrel,Levothyroxine,high,"Severe interaction, avoid concurrent use."
Hydrochlorothiazide,Losartan,medium,"Moderate interaction, consult healthcare provider."
Sertraline,Codeine,medium,"Moderate interaction, consult healthcare provider."
Diazepam,Sertraline,medium,"Moderate interaction, consult healthcare provider."
Clopidogrel,Doxycycline,high,"Severe interaction, avoid concurrent use."
Levothyroxine,Quetiapine,high,"Severe interaction, avoid concurrent use."
Simvastatin,Lisinopril,high,"Severe interaction, avoid concurrent use."
Aspirin,Ranitidine,high,"Severe interaction, avoid concurrent use."
Tramadol,Ketorolac,medium,"Moderate interaction, consult healthcare provider."
Ciprofloxacin,Levothyroxine,medium,"Moderate interaction, consult healthcare provider."
Warfarin,Morphine,low,"Minor interaction, monitor symptoms."
Olanzapine,Quetiapine,high,"Severe interaction, avoid concurrent use."
Ibuprofen,Ciprofloxacin,low,"Minor interaction, monitor symptoms."
Prednisone,Trazodone,low,"Minor interaction, monitor symptoms."
Fluoxetine,Naproxen,low,"Minor interaction, monitor symptoms."
Lisinopril,Citalopram,low,"Minor interaction, monitor symptoms."
Simvastatin,Esomeprazole,high,"Severe interaction, avoid concurrent use."
Prednisone,Olanzapine,high,"Severe interaction, avoid concurrent use."
Aspirin,Morphine,low,"Minor interaction, monitor symptoms."
Levothyroxine,Naproxen,medium,"Moderate interaction, consult healthcare provider."
Prednisone,Haloperidol,high,"Severe interaction, avoid concurrent use."
Morphine,Venlafaxine,high,"Severe interaction, avoid concurrent use."
