 drug_name,age_group,warning,severity,alternative,note
Prednisone Variant75,Elderly,Can cause adrenal suppression and mood changes.,Low,NSAIDs (short-term),Use only under strict medical advice.
Promethazine Variant76,Pediatric,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Codeine Variant77,<2 years,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Lorazepam Variant78,Elderly,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Aspirin Variant79,Pediatric,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Chloramphenicol Variant80,<18,May cause Gray Baby Syndrome.,High,Amoxicillin,Avoid in neonates.
Ciprofloxacin Variant81,<2 years,May impair cartilage development in children.,Medium,Amoxicillin,Use alternatives in pediatric cases.
Chloramphenicol Variant82,Adult,May cause Gray Baby Syndrome.,Moderate,Amoxicillin,Avoid in neonates.
Ciprofloxacin Variant83,All,May impair cartilage development in children.,Low,Amoxicillin,Use alternatives in pediatric cases.
Prednisone Variant84,Elderly,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Promethazine Variant85,Pediatric,Risk of fatal respiratory depression.,Low,Saline Nebulizer,Never use in children under 2.
Ciprofloxacin Variant86,Adult,May impair cartilage development in children.,Critical,Amoxicillin,Use alternatives in pediatric cases.
Metoclopramide Variant87,<2 years,Can cause extrapyramidal symptoms.,Critical,Ondansetron,Limit duration of use.
Metoclopramide Variant88,<18,Can cause extrapyramidal symptoms.,High,Ondansetron,Limit duration of use.
Ciprofloxacin Variant89,Adult,May impair cartilage development in children.,Critical,Amoxicillin,Use alternatives in pediatric cases.
Promethazine Variant90,Pediatric,Risk of fatal respiratory depression.,Critical,Saline Nebulizer,Never use in children under 2.
Codeine Variant91,Adult,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Codeine Variant92,<18,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Chloramphenicol Variant93,Pediatric,May cause Gray Baby Syndrome.,Critical,Amoxicillin,Avoid in neonates.
Hydroxyzine Variant94,Pediatric,Risk of QT prolongation and sedation.,High,Loratadine,Use safer antihistamines in elderly.
Prednisone Variant95,Neonates,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Lorazepam Variant96,<2 years,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Chloramphenicol Variant97,Neonates,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Chloramphenicol Variant98,All,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Chloramphenicol Variant99,Pediatric,May cause Gray Baby Syndrome.,High,Amoxicillin,Avoid in neonates.
Lorazepam Variant0,All,"Risk of falls, confusion, and sedation.",Medium,Melatonin,Try non-pharma methods for sleep first.
Lorazepam Variant1,Neonates,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Aspirin Variant2,Neonates,Linked to Reye’s Syndrome in children.,Critical,Paracetamol,Avoid unless prescribed by doctor.
Codeine Variant3,All,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Medium,Paracetamol,Not recommended for under 18.
Hydroxyzine Variant4,All,Risk of QT prolongation and sedation.,Low,Loratadine,Use safer antihistamines in elderly.
Codeine Variant5,<18,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Promethazine Variant6,Elderly,Risk of fatal respiratory depression.,High,Saline Nebulizer,Never use in children under 2.
Prednisone Variant7,Adult,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Lorazepam Variant8,Pediatric,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Ciprofloxacin Variant9,Adult,May impair cartilage development in children.,Medium,Amoxicillin,Use alternatives in pediatric cases.
Lorazepam Variant10,<2 years,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Aspirin Variant11,<18,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Hydroxyzine Variant12,Elderly,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Chloramphenicol Variant13,Adult,May cause Gray Baby Syndrome.,Critical,Amoxicillin,Avoid in neonates.
Dexamethasone Variant14,Neonates,Long-term use can suppress growth and immune function in children.,Critical,Ibuprofen,Use only when absolutely necessary.
Aspirin Variant15,Neonates,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Codeine Variant16,Neonates,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",High,Paracetamol,Not recommended for under 18.
Promethazine Variant17,Pediatric,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Prednisone Variant18,Neonates,Can cause adrenal suppression and mood changes.,Low,NSAIDs (short-term),Use only under strict medical advice.
Ciprofloxacin Variant19,<2 years,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Prednisone Variant20,Neonates,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Chloramphenicol Variant21,Neonates,May cause Gray Baby Syndrome.,Critical,Amoxicillin,Avoid in neonates.
Dexamethasone Variant22,Neonates,Long-term use can suppress growth and immune function in children.,High,Ibuprofen,Use only when absolutely necessary.
Codeine Variant23,All,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Metoclopramide Variant24,Elderly,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Prednisone Variant25,Neonates,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Chloramphenicol Variant26,<18,May cause Gray Baby Syndrome.,High,Amoxicillin,Avoid in neonates.
Ciprofloxacin Variant27,<2 years,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Lorazepam Variant28,Neonates,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Chloramphenicol Variant29,Elderly,May cause Gray Baby Syndrome.,High,Amoxicillin,Avoid in neonates.
Lorazepam Variant30,All,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Chloramphenicol Variant31,Pediatric,May cause Gray Baby Syndrome.,Moderate,Amoxicillin,Avoid in neonates.
Codeine Variant32,Adult,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Aspirin Variant33,All,Linked to Reye’s Syndrome in children.,High,Paracetamol,Avoid unless prescribed by doctor.
Codeine Variant34,Neonates,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",High,Paracetamol,Not recommended for under 18.
Promethazine Variant35,Pediatric,Risk of fatal respiratory depression.,Low,Saline Nebulizer,Never use in children under 2.
Metoclopramide Variant36,Adult,Can cause extrapyramidal symptoms.,High,Ondansetron,Limit duration of use.
Lorazepam Variant37,Adult,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Aspirin Variant38,<18,Linked to Reye’s Syndrome in children.,Critical,Paracetamol,Avoid unless prescribed by doctor.
Metoclopramide Variant39,All,Can cause extrapyramidal symptoms.,High,Ondansetron,Limit duration of use.
Hydroxyzine Variant40,Pediatric,Risk of QT prolongation and sedation.,Low,Loratadine,Use safer antihistamines in elderly.
Lorazepam Variant41,<2 years,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Metoclopramide Variant42,Adult,Can cause extrapyramidal symptoms.,Critical,Ondansetron,Limit duration of use.
Ciprofloxacin Variant43,Elderly,May impair cartilage development in children.,Critical,Amoxicillin,Use alternatives in pediatric cases.
Lorazepam Variant44,<18,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Promethazine Variant45,<2 years,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Ciprofloxacin Variant46,All,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Codeine Variant47,Adult,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",High,Paracetamol,Not recommended for under 18.
Hydroxyzine Variant48,Elderly,Risk of QT prolongation and sedation.,Low,Loratadine,Use safer antihistamines in elderly.
Dexamethasone Variant49,<18,Long-term use can suppress growth and immune function in children.,High,Ibuprofen,Use only when absolutely necessary.
Ciprofloxacin Variant50,Adult,May impair cartilage development in children.,Critical,Amoxicillin,Use alternatives in pediatric cases.
Ciprofloxacin Variant51,<18,May impair cartilage development in children.,High,Amoxicillin,Use alternatives in pediatric cases.
Lorazepam Variant52,<2 years,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Ciprofloxacin Variant53,Neonates,May impair cartilage development in children.,Critical,Amoxicillin,Use alternatives in pediatric cases.
Hydroxyzine Variant54,Neonates,Risk of QT prolongation and sedation.,High,Loratadine,Use safer antihistamines in elderly.
Aspirin Variant55,<18,Linked to Reye’s Syndrome in children.,High,Paracetamol,Avoid unless prescribed by doctor.
Prednisone Variant56,Adult,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Ciprofloxacin Variant57,All,May impair cartilage development in children.,Medium,Amoxicillin,Use alternatives in pediatric cases.
Hydroxyzine Variant58,Adult,Risk of QT prolongation and sedation.,High,Loratadine,Use safer antihistamines in elderly.
Hydroxyzine Variant59,All,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Promethazine Variant60,All,Risk of fatal respiratory depression.,Medium,Saline Nebulizer,Never use in children under 2.
Ciprofloxacin Variant61,Adult,May impair cartilage development in children.,Critical,Amoxicillin,Use alternatives in pediatric cases.
Chloramphenicol Variant62,Neonates,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Metoclopramide Variant63,Adult,Can cause extrapyramidal symptoms.,High,Ondansetron,Limit duration of use.
Metoclopramide Variant64,Pediatric,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Ciprofloxacin Variant65,Adult,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Ciprofloxacin Variant66,Neonates,May impair cartilage development in children.,Medium,Amoxicillin,Use alternatives in pediatric cases.
Codeine Variant67,Pediatric,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Medium,Paracetamol,Not recommended for under 18.
Dexamethasone Variant68,<2 years,Long-term use can suppress growth and immune function in children.,Medium,Ibuprofen,Use only when absolutely necessary.
Promethazine Variant69,Pediatric,Risk of fatal respiratory depression.,Critical,Saline Nebulizer,Never use in children under 2.
Codeine Variant70,<2 years,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Medium,Paracetamol,Not recommended for under 18.
Hydroxyzine Variant71,Pediatric,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Promethazine Variant72,Neonates,Risk of fatal respiratory depression.,Critical,Saline Nebulizer,Never use in children under 2.
Promethazine Variant73,All,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Promethazine Variant74,<2 years,Risk of fatal respiratory depression.,Low,Saline Nebulizer,Never use in children under 2.
Lorazepam Variant75,Elderly,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Hydroxyzine Variant76,<18,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Aspirin Variant77,<2 years,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Lorazepam Variant78,Elderly,"Risk of falls, confusion, and sedation.",Medium,Melatonin,Try non-pharma methods for sleep first.
Prednisone Variant79,Adult,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Codeine Variant80,<18,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Ciprofloxacin Variant81,<2 years,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Codeine Variant82,Neonates,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Codeine Variant83,Adult,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",High,Paracetamol,Not recommended for under 18.
Chloramphenicol Variant84,Pediatric,May cause Gray Baby Syndrome.,High,Amoxicillin,Avoid in neonates.
Codeine Variant85,<2 years,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",High,Paracetamol,Not recommended for under 18.
Chloramphenicol Variant86,Neonates,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Dexamethasone Variant87,Elderly,Long-term use can suppress growth and immune function in children.,High,Ibuprofen,Use only when absolutely necessary.
Metoclopramide Variant88,Neonates,Can cause extrapyramidal symptoms.,Critical,Ondansetron,Limit duration of use.
Metoclopramide Variant89,<2 years,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Lorazepam Variant90,Pediatric,"Risk of falls, confusion, and sedation.",Medium,Melatonin,Try non-pharma methods for sleep first.
Promethazine Variant91,Adult,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Metoclopramide Variant92,All,Can cause extrapyramidal symptoms.,High,Ondansetron,Limit duration of use.
Dexamethasone Variant93,<2 years,Long-term use can suppress growth and immune function in children.,Critical,Ibuprofen,Use only when absolutely necessary.
Lorazepam Variant94,Neonates,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Hydroxyzine Variant95,Elderly,Risk of QT prolongation and sedation.,Medium,Loratadine,Use safer antihistamines in elderly.
Ciprofloxacin Variant96,Elderly,May impair cartilage development in children.,High,Amoxicillin,Use alternatives in pediatric cases.
Chloramphenicol Variant97,Pediatric,May cause Gray Baby Syndrome.,Critical,Amoxicillin,Avoid in neonates.
Lorazepam Variant98,All,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Prednisone Variant99,Pediatric,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Chloramphenicol Variant0,Neonates,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Promethazine Variant1,<2 years,Risk of fatal respiratory depression.,Critical,Saline Nebulizer,Never use in children under 2.
Ciprofloxacin Variant2,All,May impair cartilage development in children.,Critical,Amoxicillin,Use alternatives in pediatric cases.
Dexamethasone Variant3,<18,Long-term use can suppress growth and immune function in children.,Critical,Ibuprofen,Use only when absolutely necessary.
Dexamethasone Variant4,All,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Chloramphenicol Variant5,Pediatric,May cause Gray Baby Syndrome.,Critical,Amoxicillin,Avoid in neonates.
Aspirin Variant6,Neonates,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Chloramphenicol Variant7,Adult,May cause Gray Baby Syndrome.,High,Amoxicillin,Avoid in neonates.
Aspirin Variant8,Adult,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Lorazepam Variant9,Elderly,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Chloramphenicol Variant10,<2 years,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Codeine Variant11,Neonates,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",High,Paracetamol,Not recommended for under 18.
Metoclopramide Variant12,<2 years,Can cause extrapyramidal symptoms.,High,Ondansetron,Limit duration of use.
Dexamethasone Variant13,Adult,Long-term use can suppress growth and immune function in children.,High,Ibuprofen,Use only when absolutely necessary.
Ciprofloxacin Variant14,<18,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Prednisone Variant15,All,Can cause adrenal suppression and mood changes.,Low,NSAIDs (short-term),Use only under strict medical advice.
Hydroxyzine Variant16,<2 years,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Aspirin Variant17,Elderly,Linked to Reye’s Syndrome in children.,Critical,Paracetamol,Avoid unless prescribed by doctor.
Chloramphenicol Variant18,All,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Promethazine Variant19,<18,Risk of fatal respiratory depression.,Medium,Saline Nebulizer,Never use in children under 2.
Ciprofloxacin Variant20,Pediatric,May impair cartilage development in children.,Medium,Amoxicillin,Use alternatives in pediatric cases.
Metoclopramide Variant21,Pediatric,Can cause extrapyramidal symptoms.,Low,Ondansetron,Limit duration of use.
Promethazine Variant22,Neonates,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Aspirin Variant23,Adult,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Codeine Variant24,Neonates,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Lorazepam Variant25,Pediatric,"Risk of falls, confusion, and sedation.",Medium,Melatonin,Try non-pharma methods for sleep first.
Promethazine Variant26,<18,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Aspirin Variant27,Adult,Linked to Reye’s Syndrome in children.,Critical,Paracetamol,Avoid unless prescribed by doctor.
Prednisone Variant28,Elderly,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Aspirin Variant29,Neonates,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Promethazine Variant30,All,Risk of fatal respiratory depression.,Medium,Saline Nebulizer,Never use in children under 2.
Chloramphenicol Variant31,<18,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Metoclopramide Variant32,Pediatric,Can cause extrapyramidal symptoms.,Low,Ondansetron,Limit duration of use.
Lorazepam Variant33,<2 years,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Hydroxyzine Variant34,Pediatric,Risk of QT prolongation and sedation.,High,Loratadine,Use safer antihistamines in elderly.
Hydroxyzine Variant35,Neonates,Risk of QT prolongation and sedation.,Low,Loratadine,Use safer antihistamines in elderly.
Hydroxyzine Variant36,Pediatric,Risk of QT prolongation and sedation.,Medium,Loratadine,Use safer antihistamines in elderly.
Dexamethasone Variant37,Elderly,Long-term use can suppress growth and immune function in children.,Medium,Ibuprofen,Use only when absolutely necessary.
Lorazepam Variant38,Pediatric,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Dexamethasone Variant39,Pediatric,Long-term use can suppress growth and immune function in children.,Medium,Ibuprofen,Use only when absolutely necessary.
Metoclopramide Variant40,All,Can cause extrapyramidal symptoms.,Medium,Ondansetron,Limit duration of use.
Prednisone Variant41,<2 years,Can cause adrenal suppression and mood changes.,High,NSAIDs (short-term),Use only under strict medical advice.
Promethazine Variant42,Adult,Risk of fatal respiratory depression.,Low,Saline Nebulizer,Never use in children under 2.
Lorazepam Variant43,<18,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Lorazepam Variant44,<18,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Dexamethasone Variant45,Pediatric,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
Prednisone Variant46,<18,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Chloramphenicol Variant47,Neonates,May cause Gray Baby Syndrome.,High,Amoxicillin,Avoid in neonates.
Hydroxyzine Variant48,Elderly,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Lorazepam Variant49,Neonates,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Dexamethasone Variant50,Adult,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Codeine Variant51,Pediatric,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Hydroxyzine Variant52,Pediatric,Risk of QT prolongation and sedation.,High,Loratadine,Use safer antihistamines in elderly.
Prednisone Variant53,Adult,Can cause adrenal suppression and mood changes.,Low,NSAIDs (short-term),Use only under strict medical advice.
Chloramphenicol Variant54,Adult,May cause Gray Baby Syndrome.,Critical,Amoxicillin,Avoid in neonates.
Dexamethasone Variant55,All,Long-term use can suppress growth and immune function in children.,Medium,Ibuprofen,Use only when absolutely necessary.
Hydroxyzine Variant56,Elderly,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Hydroxyzine Variant57,Neonates,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Hydroxyzine Variant58,Pediatric,Risk of QT prolongation and sedation.,Low,Loratadine,Use safer antihistamines in elderly.
Lorazepam Variant59,Adult,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Chloramphenicol Variant60,Pediatric,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Chloramphenicol Variant61,Adult,May cause Gray Baby Syndrome.,Moderate,Amoxicillin,Avoid in neonates.
Chloramphenicol Variant62,All,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Prednisone Variant63,Pediatric,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Metoclopramide Variant64,All,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Hydroxyzine Variant65,Pediatric,Risk of QT prolongation and sedation.,Low,Loratadine,Use safer antihistamines in elderly.
Dexamethasone Variant66,Elderly,Long-term use can suppress growth and immune function in children.,Medium,Ibuprofen,Use only when absolutely necessary.
Dexamethasone Variant67,Neonates,Long-term use can suppress growth and immune function in children.,Critical,Ibuprofen,Use only when absolutely necessary.
Hydroxyzine Variant68,Adult,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Lorazepam Variant69,<18,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Prednisone Variant70,All,Can cause adrenal suppression and mood changes.,Low,NSAIDs (short-term),Use only under strict medical advice.
Aspirin Variant71,<2 years,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Dexamethasone Variant72,Neonates,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
Aspirin Variant73,All,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Metoclopramide Variant74,<18,Can cause extrapyramidal symptoms.,High,Ondansetron,Limit duration of use.
Codeine Variant75,Neonates,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Lorazepam Variant76,Pediatric,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Aspirin Variant77,Pediatric,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Chloramphenicol Variant78,Pediatric,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Metoclopramide Variant79,<2 years,Can cause extrapyramidal symptoms.,Medium,Ondansetron,Limit duration of use.
Aspirin Variant80,All,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Codeine Variant81,<2 years,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Promethazine Variant82,<2 years,Risk of fatal respiratory depression.,Low,Saline Nebulizer,Never use in children under 2.
Aspirin Variant83,All,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Prednisone Variant84,Neonates,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Promethazine Variant85,Pediatric,Risk of fatal respiratory depression.,High,Saline Nebulizer,Never use in children under 2.
Promethazine Variant86,Neonates,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Dexamethasone Variant87,All,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Dexamethasone Variant88,Adult,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
Codeine Variant89,<2 years,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Codeine Variant90,Pediatric,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Medium,Paracetamol,Not recommended for under 18.
Metoclopramide Variant91,<2 years,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Prednisone Variant92,Neonates,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Dexamethasone Variant93,Pediatric,Long-term use can suppress growth and immune function in children.,Medium,Ibuprofen,Use only when absolutely necessary.
Hydroxyzine Variant94,Elderly,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Codeine Variant95,<18,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Medium,Paracetamol,Not recommended for under 18.
Hydroxyzine Variant96,All,Risk of QT prolongation and sedation.,High,Loratadine,Use safer antihistamines in elderly.
Prednisone Variant97,Adult,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Dexamethasone Variant98,<2 years,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Prednisone Variant99,<18,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Aspirin Variant0,All,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Prednisone Variant1,Adult,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Metoclopramide Variant2,<18,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Chloramphenicol Variant3,<2 years,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Aspirin Variant4,Pediatric,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Hydroxyzine Variant5,Elderly,Risk of QT prolongation and sedation.,High,Loratadine,Use safer antihistamines in elderly.
Hydroxyzine Variant6,Pediatric,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Ciprofloxacin Variant7,<2 years,May impair cartilage development in children.,Critical,Amoxicillin,Use alternatives in pediatric cases.
Ciprofloxacin Variant8,Adult,May impair cartilage development in children.,High,Amoxicillin,Use alternatives in pediatric cases.
Codeine Variant9,Pediatric,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Aspirin Variant10,Pediatric,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Metoclopramide Variant11,Adult,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Dexamethasone Variant12,Pediatric,Long-term use can suppress growth and immune function in children.,High,Ibuprofen,Use only when absolutely necessary.
Hydroxyzine Variant13,Adult,Risk of QT prolongation and sedation.,Low,Loratadine,Use safer antihistamines in elderly.
Dexamethasone Variant14,All,Long-term use can suppress growth and immune function in children.,Medium,Ibuprofen,Use only when absolutely necessary.
Prednisone Variant15,Pediatric,Can cause adrenal suppression and mood changes.,Low,NSAIDs (short-term),Use only under strict medical advice.
Metoclopramide Variant16,Pediatric,Can cause extrapyramidal symptoms.,Low,Ondansetron,Limit duration of use.
